月份,办公楼施工面积_累计值,办公楼施工面积_累计增长,办公楼新开工施工面积_累计值,办公楼新开工施工面积_累计增长,办公楼竣工面积_累计值,办公楼竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,878.56,5.1,41.25,-18.8,28.16,0.0,北京市
200803,974.8,-1.1,54.76,3.3,40.34,0.0,北京市
200804,1079.75,0.3,56.34,-14.5,49.05,0.0,北京市
200805,1109.45,-3.1,74.41,-19.9,56.22,178.7,北京市
200806,1136.67,-5.0,91.39,-21.4,95.49,223.1,北京市
200807,1152.64,-8.1,98.47,-31.1,125.02,185.5,北京市
200808,1183.37,-6.4,126.39,-17.0,144.8,166.7,北京市
200809,1187.25,-8.7,130.41,-27.8,146.99,119.6,北京市
200810,1202.68,-11.4,149.0,-29.3,190.16,140.4,北京市
200811,1219.78,-12.2,158.45,-35.4,207.29,37.1,北京市
200812,1287.18,-5.7,159.75,-39.7,364.6,15.8,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,635.44,-27.7,45.13,9.4,13.37,-52.5,北京市
200903,810.74,-16.8,42.32,-22.7,29.02,-28.1,北京市
200904,848.59,-21.4,53.35,-5.3,34.39,-29.9,北京市
200905,850.1,-23.4,54.35,-27.0,42.58,-24.3,北京市
200906,937.42,-17.5,113.42,24.1,75.88,-20.5,北京市
200907,972.81,-15.6,132.59,34.6,111.46,-10.8,北京市
200908,987.7,-16.5,129.16,2.2,122.85,-15.2,北京市
200909,1010.17,-14.9,147.9,13.4,122.85,-16.4,北京市
200910,1028.59,-14.5,161.97,8.7,142.08,-25.3,北京市
200911,1033.29,-15.3,181.62,14.6,171.26,-17.4,北京市
200912,1132.19,-12.0,255.96,60.2,316.59,-13.2,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,719.52,13.2,19.5,-56.8,27.81,108.0,北京市
201003,853.27,5.2,34.82,-17.7,51.19,76.4,北京市
201004,879.71,3.7,35.74,-33.0,53.51,55.6,北京市
201005,909.75,7.0,62.81,15.6,63.9,50.1,北京市
201006,935.48,-0.2,76.03,-33.0,90.4,19.1,北京市
201007,936.96,-3.7,88.06,-33.6,95.42,-14.4,北京市
201008,956.86,-3.1,112.05,-13.3,102.36,-16.7,北京市
201009,976.0,-3.4,117.2,-20.8,119.93,-2.4,北京市
201010,994.1526,-3.3,140.698,-13.1,127.6793,-10.1,北京市
201011,1005.1054,-2.7,149.1285,-17.9,139.1602,-18.7,北京市
201012,1054.8448,-6.8,203.2909,-20.6,198.4164,-37.3,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,658.7597,-8.4,14.1426,-27.5,36.2293,30.3,北京市
201103,830.1687,-2.7,45.3583,30.3,48.8259,-4.6,北京市
201104,920.6525,4.7,58.6602,64.1,49.3248,-7.8,北京市
201105,1146.0258,26.0,174.7502,178.2,81.1941,27.1,北京市
201106,1202.1197,28.5,256.8383,237.8,86.2543,-4.6,北京市
201107,1216.8211,29.9,288.1766,227.3,92.6212,-2.9,北京市
201108,1254.9618,31.2,309.6135,176.3,101.7632,-0.6,北京市
201109,1278.5194,31.0,325.2202,177.5,124.2804,3.6,北京市
201110,1335.7656,34.4,384.6709,173.4,137.8005,7.9,北京市
201111,1404.3676,39.7,448.3978,200.7,167.9165,20.7,北京市
201112,1422.6636,34.9,489.3992,140.7,245.1682,23.6,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,1008.3776,53.1,29.7967,110.7,10.2268,-71.8,北京市
201203,1069.5785,28.8,58.6865,29.4,22.4434,-54.0,北京市
201204,1168.0141,26.9,67.8414,15.7,23.3819,-52.6,北京市
201205,1248.5944,8.9,130.0029,-25.6,33.1091,-59.2,北京市
201206,1298.3875,8.0,169.0203,-34.2,44.8041,-48.1,北京市
