月份,商业营业用房施工面积_累计值,商业营业用房施工面积_累计增长,商业营业用房新开工施工面积_累计值,商业营业用房新开工施工面积_累计增长,商业营业用房竣工面积_累计值,商业营业用房竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,893.88,8.9,41.92,59.1,12.93,-14.9,北京市
200803,997.47,1.8,68.91,44.2,20.39,-45.5,北京市
200804,1087.72,2.9,85.12,12.7,45.11,-26.8,北京市
200805,1107.33,-7.1,97.38,18.8,55.99,-21.3,北京市
200806,1152.99,-6.1,109.34,12.0,71.45,-23.5,北京市
200807,1207.12,-3.1,141.03,18.0,129.82,21.9,北京市
200808,1241.05,-2.7,155.42,10.8,146.2,17.0,北京市
200809,1253.79,-5.9,158.51,-0.6,161.14,14.5,北京市
200810,1294.92,-8.5,193.06,-8.5,180.0,13.0,北京市
200811,1328.8,-7.1,226.1,-2.9,203.39,6.8,北京市
200812,1429.84,-3.5,287.07,13.1,313.11,-0.6,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,874.28,-2.2,28.59,-31.8,19.56,51.3,北京市
200903,925.77,-7.2,30.09,-56.3,23.74,16.4,北京市
200904,1037.29,-4.6,39.7,-53.4,36.09,-20.0,北京市
200905,1096.64,-1.0,43.29,-55.5,62.59,11.8,北京市
200906,1162.37,0.8,83.22,-23.9,86.97,21.7,北京市
200907,1207.24,0.0,80.39,-43.0,101.65,-21.7,北京市
200908,1212.53,-2.3,77.56,-50.1,111.55,-23.7,北京市
200909,1246.07,-0.6,82.35,-48.0,128.78,-20.1,北京市
200910,1249.82,-3.5,103.77,-46.2,135.8,-24.6,北京市
200911,1249.28,-6.0,135.25,-40.2,153.22,-24.7,北京市
200912,1323.38,-7.4,228.45,-20.4,322.45,3.0,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,834.58,-4.5,21.27,-25.6,16.34,-16.5,北京市
201003,890.96,-3.8,46.12,53.3,19.09,-19.6,北京市
201004,928.68,-10.5,52.52,32.3,64.88,79.8,北京市
201005,968.57,-11.7,78.82,82.1,92.16,47.2,北京市
201006,1008.61,-13.2,95.03,14.2,113.57,30.6,北京市
201007,1044.08,-13.5,109.92,36.7,126.17,24.1,北京市
201008,1049.76,-13.4,123.62,59.4,133.21,19.4,北京市
201009,1083.77,-13.0,145.24,76.4,138.63,7.6,北京市
201010,1135.9151,-9.1,157.9878,52.2,193.6827,42.6,北京市
201011,1191.946,-4.6,224.2629,65.8,225.3891,47.1,北京市
201012,1229.3264,-7.1,242.4152,6.1,271.9178,-15.7,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,769.4174,-7.8,14.9693,-29.6,37.0035,126.4,北京市
201103,877.2031,-1.5,40.8964,-11.3,45.6191,138.9,北京市
201104,916.5743,-1.3,50.6308,-3.6,53.8725,-17.0,北京市
201105,940.1722,-2.9,65.9404,-16.3,64.2413,-30.3,北京市
201106,1009.8926,0.1,133.8795,40.9,72.0812,-36.5,北京市
201107,1024.8423,-1.8,145.6056,32.5,86.794,-31.2,北京市
201108,1054.4945,0.5,177.9325,43.9,103.2093,-22.5,北京市
201109,1067.0151,-1.5,210.7985,45.1,94.0508,-32.2,北京市
201110,1091.3432,-3.9,226.0025,43.1,123.5329,-36.2,北京市
201111,1149.1819,-3.6,281.5765,25.6,145.5389,-35.4,北京市
201112,1187.4806,-3.4,306.432,26.4,232.4306,-14.5,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,834.3579,8.4,71.5093,377.7,19.5666,-47.1,北京市
201203,905.7332,3.3,85.853,109.9,31.7446,-30.4,北京市
201204,992.0409,8.2,127.1757,151.2,44.3096,-17.8,北京市
201205,1017.0493,8.2,136.7613,107.4,50.918,-20.7,北京市
201206,1038.3001,2.8,158.983,18.8,55.5091,-23.0,北京市
201207,1058.3843,3.3,161.3724,10.8,64.5423,-25.6,北京市
201208,1071.5007,1.6,160.8899,-9.6,67.5599,-34.5,北京市
201209,1138.0731,6.7,235.3535,11.6,88.1745,-6.2,北京市
201210,1171.1114,7.3,264.2172,16.9,104.4159,-15.5,北京市
201211,1233.816,7.4,299.3174,6.3,119.1815,-18.1,北京市
201212,1236.8916,4.2,325.6129,6.3,240.0582,3.3,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,848.3214,1.7,49.2855,-31.1,1.7595,-91.0,北京市
201303,950.3385,4.9,74.6894,-13.0,4.965,-84.4,北京市
201304,980.7353,-1.1,104.6522,-17.7,20.9595,-52.7,北京市
201305,1017.9847,0.1,141.1839,3.2,27.5223,-45.9,北京市
201306,1022.4118,-1.5,158.9433,0.0,40.9574,-26.2,北京市
201307,1067.6885,0.9,201.1424,24.6,50.3775,-21.9,北京市
201308,1083.1474,1.1,210.7272,31.0,56.8896,-15.8,北京市
201309,1120.1931,-1.6,242.1826,2.9,77.2207,-12.4,北京市
201310,1141.9417,-2.5,254.9665,-3.5,92.6916,-11.2,北京市
201311,1183.7033,-4.1,300.8664,0.5,105.7392,-11.3,北京市
201312,1233.3734,-0.3,351.012,7.8,178.3635,-25.7,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,1030.1519,21.4,12.6349,-74.4,29.5644,0.0,北京市
201403,1094.4932,15.2,30.4091,-59.3,36.5741,0.0,北京市
201404,1108.6975,13.0,37.2373,-64.4,38.7734,85.0,北京市
201405,1131.3472,11.1,42.7414,-69.7,46.9313,70.5,北京市
201406,1154.9519,13.0,64.4282,-59.5,56.0136,36.8,北京市
201407,1175.7605,10.1,83.8311,-58.3,59.1029,17.3,北京市
201408,1179.6134,8.9,111.5379,-47.1,66.997,17.8,北京市
201409,1195.7521,6.7,129.6133,-46.5,73.4499,-4.9,北京市
201410,1214.1776,6.3,146.5715,-42.5,92.7702,0.1,北京市
201411,1249.1162,5.5,182.3608,-39.4,116.4249,10.1,北京市
201412,1278.5188,3.7,208.1676,-40.7,216.2384,21.2,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,1016.6576,-1.3,39.5717,213.2,19.6384,-33.6,北京市
201503,1081.7688,-1.2,90.6462,198.1,24.8441,-32.1,北京市
201504,1117.9887,0.8,121.7616,227.0,30.8975,-20.3,北京市
201505,1115.7407,-1.4,125.9705,194.7,33.1989,-29.3,北京市
201506,1144.8781,-0.9,156.1003,142.3,47.7167,-14.8,北京市
