月份,商品住宅施工面积_累计值,商品住宅施工面积_累计增长,商品住宅新开工施工面积_累计值,商品住宅新开工施工面积_累计增长,商品住宅竣工面积_累计值,商品住宅竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,3113.21,8.1,228.14,76.5,98.66,-42.7,北京市
200803,3712.68,0.7,388.64,64.2,159.61,-41.3,北京市
200804,4154.43,0.6,558.14,52.2,250.59,-33.7,北京市
200805,4396.9,-1.3,746.18,64.0,344.01,-25.2,北京市
200806,4587.73,-2.6,861.73,37.4,495.38,-32.2,北京市
200807,4681.96,-4.5,926.91,26.2,575.39,-29.4,北京市
200808,4757.39,-5.3,966.23,18.5,636.99,-26.2,北京市
200809,4863.22,-6.6,1017.8,2.2,691.07,-30.5,北京市
200810,4982.87,-7.9,1139.84,-3.9,769.17,-32.1,北京市
200811,5293.1,-6.3,1397.5,2.1,858.46,-31.5,北京市
200812,5538.23,-6.4,1565.3,-4.6,1399.3,-24.5,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,3414.45,9.7,85.06,-62.7,138.41,40.3,北京市
200903,3952.6,6.5,164.53,-57.7,194.53,21.9,北京市
200904,4216.08,1.5,269.89,-51.6,270.35,7.9,北京市
200905,4331.75,-1.5,339.55,-54.5,333.59,-3.0,北京市
200906,4598.02,0.2,465.71,-46.0,519.76,4.9,北京市
200907,4689.35,0.2,533.77,-42.4,575.82,0.1,北京市
200908,4808.29,1.1,627.21,-35.1,663.52,4.2,北京市
200909,4944.28,1.7,713.37,-29.9,760.96,10.1,北京市
200910,5072.26,1.8,847.65,-25.6,906.53,17.9,北京市
200911,5176.74,-2.2,1060.1,-24.1,1060.5,23.5,北京市
200912,5551.88,0.2,1380.28,-11.8,1613.23,15.3,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,3474.02,1.7,157.39,85.0,122.06,-11.8,北京市
201003,3955.63,0.1,340.79,107.1,173.33,-10.9,北京市
201004,4175.47,-1.0,482.88,78.9,237.51,-12.1,北京市
201005,4360.75,0.7,614.72,81.0,315.35,-5.5,北京市
201006,4526.84,-0.2,780.81,67.7,461.5,-6.9,北京市
201007,4659.47,0.7,915.33,71.5,515.81,-6.6,北京市
201008,4862.66,2.5,996.49,58.9,618.3,-3.3,北京市
201009,5147.25,5.4,1226.15,71.9,677.69,-8.1,北京市
201010,5449.5865,8.8,1437.9595,69.6,930.6367,5.4,北京市
201011,5725.7361,10.6,1680.5394,58.5,1064.6096,0.4,北京市
201012,6176.0201,11.2,2063.3978,49.5,1498.4755,-7.1,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,3802.2106,9.4,180.049,14.4,79.5641,-34.8,北京市
201103,4488.8838,13.5,328.706,-3.5,94.2417,-45.6,北京市
201104,4906.0235,17.5,571.2949,18.3,134.9401,-43.2,北京市
201105,5209.9507,19.5,777.9721,26.6,179.0033,-43.2,北京市
201106,5572.5351,23.1,1066.01,36.5,273.7767,-40.7,北京市
201107,5828.374,25.1,1286.4746,40.5,330.1901,-36.0,北京市
201108,6299.6235,29.6,1789.7401,79.6,453.9357,-26.6,北京市
201109,6584.1211,27.9,2010.5282,64.0,510.0876,-24.7,北京市
201110,6742.5985,23.7,2198.1013,52.9,618.3362,-33.6,北京市
201111,6988.087,22.0,2445.2127,45.5,799.9907,-24.9,北京市
201112,7168.1235,16.1,2596.4494,25.8,1316.1275,-12.2,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,4708.0892,23.8,41.0247,-77.2,43.8394,-44.9,北京市
201203,5444.0529,21.3,239.369,-27.2,99.0163,5.1,北京市
201204,5852.2864,19.3,349.4869,-38.8,169.449,25.6,北京市
201205,6157.1882,18.2,521.8689,-32.9,290.504,62.3,北京市
201206,6511.3658,16.8,775.5991,-27.2,379.5233,38.6,北京市
201207,6664.3449,14.3,886.285,-31.1,454.2828,37.6,北京市
201208,6876.3145,9.2,1031.0336,-42.4,520.2821,14.6,北京市
201209,7028.7643,6.8,1111.6454,-44.7,641.1635,25.7,北京市
201210,7212.0256,7.0,1319.9718,-39.9,842.1247,36.2,北京市
201211,7356.7573,5.3,1454.9672,-40.5,1021.0496,27.6,北京市
201212,7510.3589,4.8,1627.5023,-37.3,1522.7151,15.7,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,4780.7643,1.5,109.5643,167.1,66.654,52.0,北京市
201303,5332.6045,-2.0,184.1088,-23.1,122.6753,23.9,北京市
201304,5767.588,-1.4,320.3523,-8.3,199.5338,17.8,北京市
201305,6021.8429,-2.2,470.6331,-9.8,237.1021,-18.4,北京市
201306,6242.446,-4.1,696.9188,-10.1,344.6672,-9.2,北京市
201307,6414.0129,-3.8,805.8577,-9.1,430.533,-5.2,北京市
201308,6597.1645,-4.1,947.721,-8.1,536.8526,3.2,北京市
201309,6800.3762,-3.2,1138.1845,2.4,738.8855,15.2,北京市
201310,6993.4539,-3.0,1293.6098,-2.0,930.27,10.5,北京市
201311,7257.2829,-1.4,1537.0583,5.6,1083.0287,6.1,北京市
201312,7406.8835,-1.4,1736.5374,6.7,1692.0382,11.1,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,5432.6537,13.6,121.715,11.1,138.6633,108.0,北京市
201403,5826.6027,9.3,296.0091,60.8,177.2908,44.5,北京市
201404,5948.3148,3.1,363.3676,13.4,216.9422,8.7,北京市
201405,6104.3993,1.4,461.8988,-1.9,306.5834,29.3,北京市
201406,6286.1943,0.7,618.2714,-11.3,352.8087,2.4,北京市
201407,6440.2931,0.4,795.1563,-1.3,430.2611,-0.1,北京市
201408,6517.0512,-1.2,827.3211,-12.7,480.8658,-10.4,北京市
201409,6598.6083,-3.0,891.1208,-21.7,580.2101,-21.5,北京市
201410,6793.6765,-2.9,1074.2075,-17.0,714.6429,-23.2,北京市
201411,6845.1288,-5.7,1118.5855,-27.2,953.3617,-12.0,北京市
201412,6977.9888,-5.8,1282.2801,-26.2,1804.343,6.6,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,4944.5804,-9.0,77.177,-36.6,71.7893,-48.2,北京市
201503,5214.3403,-10.5,190.6026,-35.6,224.5268,26.6,北京市
201504,5313.448,-10.7,249.9572,-31.2,254.2064,17.2,北京市
201505,5469.0156,-10.4,383.7989,-16.9,360.7885,17.7,北京市
201506,5632.6281,-10.4,495.6938,-19.8,398.1501,12.9,北京市
201507,5799.6478,-9.9,655.7645,-17.5,416.913,-3.1,北京市
201508,5820.1455,-10.7,685.9756,-17.1,469.7465,-2.3,北京市
201509,5859.1517,-11.2,738.053,-17.2,575.1078,-0.9,北京市
201510,5956.4007,-12.3,825.9727,-23.1,759.0236,6.2,北京市
201511,6119.3733,-10.6,933.1343,-16.6,920.3464,-3.5,北京市
201512,6261.2115,-10.3,1158.1726,-9.7,1378.2203,-23.6,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,4783.5824,-3.3,101.5822,31.6,98.5226,37.2,北京市
201603,4812.6918,-7.7,145.812,-23.5,204.5251,-8.9,北京市
201604,5018.5598,-5.5,249.7739,-0.1,260.2042,2.4,北京市
201605,5193.1658,-5.0,444.3249,15.8,316.4808,-12.3,北京市
201606,5244.0959,-6.9,532.9938,7.5,469.9096,18.0,北京市
201607,5313.1576,-8.4,593.3523,-9.5,509.1984,22.1,北京市
201608,5440.965,-6.5,719.6565,4.9,520.1348,10.7,北京市
201609,5519.4713,-5.8,819.643,11.1,607.6416,5.7,北京市
201610,5701.5637,-4.3,979.242,18.6,705.0493,-7.1,北京市
