月份,住宅建设投资额_累计值,住宅建设投资额_累计增长,住宅施工面积_累计值,住宅施工面积_累计增长,住宅竣工面积_累计值,住宅竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,90.4246,0.6,3448.61,6.5,116.87,-33.0,北京市
200803,152.0987,7.3,4109.9055,-0.2,212.6143,-23.6,北京市
200804,228.8893,5.6,4589.078,-0.8,300.3357,-23.3,北京市
200805,314.0458,7.1,4853.5192,-2.1,420.4448,-12.8,北京市
200806,411.2826,7.1,5049.908,-3.8,577.9934,-23.3,北京市
200807,486.1036,-0.7,5186.5835,-6.0,661.1064,-21.1,北京市
200808,511.5498,-10.8,5263.7155,-7.9,725.978,-18.4,北京市
200809,561.1024,-15.7,5368.5409,-9.1,780.2767,-25.1,北京市
200810,715.4474,-5.1,5578.673,-8.7,875.4486,-26.0,北京市
200811,824.6896,-2.0,5936.0951,-6.8,997.7145,-23.5,北京市
200812,991.5779,-5.9,6203.5391,-6.3,1608.9009,-19.4,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,64.12,-29.1,3639.51,5.5,139.1,19.0,北京市
200903,112.4926,-26.0,4276.4723,4.1,195.4487,-8.1,北京市
200904,174.7211,-23.7,4597.0482,0.2,272.7805,-9.2,北京市
200905,240.9109,-23.3,4775.9283,-1.6,342.9501,-18.4,北京市
200906,358.0156,-13.0,5045.4309,-0.1,541.2398,-6.4,北京市
200907,445.2975,-8.4,5100.3668,-1.7,593.6579,-10.2,北京市
200908,541.279,5.8,5270.2327,0.1,687.0716,-5.4,北京市
200909,634.3343,13.1,5411.9976,0.8,784.2868,0.5,北京市
200910,709.1216,-0.9,5520.2862,-1.0,938.1015,7.2,北京市
200911,778.4057,-5.6,5634.3981,-5.1,1108.5333,11.1,北京市
200912,967.9218,-2.4,6034.6402,-2.7,1735.4224,7.9,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,120.2142,87.5,3692.2467,1.4,124.7005,-10.4,北京市
201003,218.6838,94.4,4206.9553,-1.6,175.9705,-10.0,北京市
201004,266.3805,52.5,4427.7195,-3.7,242.1396,-11.2,北京市
201005,447.573,85.8,4647.4404,-2.7,319.9757,-6.7,北京市
201006,574.2584,60.4,4859.2204,-3.7,472.1048,-12.8,北京市
201007,757.4171,70.1,5048.224,-1.0,540.8689,-8.9,北京市
201008,876.4784,61.9,5259.6093,-0.2,643.3553,-6.4,北京市
201009,1081.1889,70.4,5562.4009,2.8,704.1819,-10.2,北京市
201010,1166.0314,64.4,5859.1296,6.1,957.2546,2.0,北京市
201011,1378.9777,77.2,6021.7866,6.9,1088.4252,-1.8,北京市
201012,1569.1472,62.1,6649.7894,10.2,1566.3889,-9.7,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,110.8787,-6.8,4141.6817,11.9,82.4431,-33.9,北京市
201103,265.6221,19.6,4997.8357,14.5,114.5167,-37.4,北京市
201104,443.8053,62.9,5571.5998,20.4,160.1856,-37.5,北京市
201105,577.6875,26.3,5908.9678,20.9,208.0092,-38.6,北京市
201106,736.7087,24.6,6297.488,22.6,311.3932,-36.8,北京市
201107,983.8636,26.2,6677.9861,24.2,371.4554,-33.7,北京市
201108,1240.9689,36.8,7259.1626,29.1,505.017,-24.2,北京市
201109,1455.3938,30.0,7509.0427,26.5,570.8116,-23.6,北京市
201110,1568.769,29.7,7710.9412,23.1,712.5648,-29.1,北京市
201111,1769.9648,23.0,7983.096,21.9,912.4031,-21.5,北京市
201112,1892.9526,17.2,8094.0932,15.3,1574.3718,-4.7,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,103.7877,-6.4,5037.5011,21.6,45.5612,-44.7,北京市
201203,255.8089,-3.7,5904.138,18.1,102.8001,-10.2,北京市
201204,381.2008,-14.1,6538.4525,17.4,174.1095,8.7,北京市
201205,575.5461,-0.4,6855.9425,16.0,295.4364,42.0,北京市
201206,747.9105,1.5,7324.0073,16.3,407.1016,30.7,北京市
201207,913.2212,-7.2,7547.0215,13.0,481.7011,29.7,北京市
201208,1124.4343,-9.4,8070.7052,11.2,556.6547,10.2,北京市
201209,1280.3937,-12.0,8123.9496,8.2,680.1784,19.2,北京市
201210,1467.4294,-6.5,8449.3212,9.6,918.5261,28.9,北京市
201211,1641.2865,-7.3,8520.2754,6.7,1105.4637,21.2,北京市
201212,1824.0236,-3.6,8790.7812,8.6,1665.1537,5.8,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,116.5581,12.3,5615.666,11.5,78.3701,72.0,北京市
201303,225.7705,-11.7,6331.1486,7.2,135.5088,31.8,北京市
201304,323.924,-15.0,6838.8777,4.6,215.6168,23.8,北京市
201305,479.6709,-16.7,7171.404,4.6,276.5152,-6.4,北京市
201306,691.0375,-7.6,7434.3905,1.5,382.2938,-6.1,北京市
201307,847.5766,-7.2,7702.097,2.1,479.5025,-0.5,北京市
201308,1021.5609,-9.1,8043.0666,-0.3,589.6692,5.9,北京市
201309,1281.2407,0.1,8299.659,2.2,804.6215,18.3,北京市
201310,1423.9675,-3.0,8469.8206,0.2,1023.5569,11.4,北京市
201311,1642.9037,0.1,8957.8179,5.1,1190.5514,7.7,北京市
201312,1985.6909,8.3,9102.1098,2.9,1826.1796,10.1,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,121.8431,4.5,6483.0925,15.4,140.0467,78.7,北京市
201403,295.4476,30.9,7038.725,11.2,181.7185,34.1,北京市
201404,411.3432,27.0,7219.8115,5.6,279.2729,29.5,北京市
201405,556.1459,15.9,7414.6427,3.4,368.9141,33.4,北京市
201406,847.6473,22.7,7674.151,3.2,421.7078,10.3,北京市
201407,1048.7753,23.7,7886.1084,2.4,509.5974,6.3,北京市
201408,1256.0879,23.0,7967.6978,-0.9,560.5121,-4.9,北京市
201409,1414.014,10.4,8062.0147,-2.9,674.4369,-16.2,北京市
201410,1581.0352,11.0,8280.4759,-2.2,840.9194,-17.8,北京市
201411,1805.1092,9.9,8363.4869,-6.6,1102.1186,-7.4,北京市
201412,2056.7428,3.6,8227.1875,-9.6,2143.602,17.4,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,129.8944,6.6,5190.3367,-19.9,71.7893,-48.7,北京市
201503,310.3066,5.0,5574.565,-20.8,224.5268,23.6,北京市
201504,460.0556,11.8,5817.0082,-19.4,254.2064,-9.0,北京市
201505,640.5512,15.2,6210.2927,-16.2,362.0885,-1.9,北京市
201506,881.1295,4.0,6489.7538,-15.4,405.4641,-3.9,北京市
201507,1090.5483,4.0,6715.0281,-14.8,424.227,-16.8,北京市
201508,1211.0598,-3.6,6746.6574,-15.3,484.0333,-13.6,北京市
201509,1410.3869,-0.3,6915.0964,-14.2,600.6277,-10.9,北京市
201510,1647.4253,4.2,7097.5123,-14.3,795.4262,-5.4,北京市
201511,1785.6802,-1.1,7170.0096,-14.3,997.2093,-9.5,北京市
201512,2027.9595,-1.4,7354.3315,-10.6,1582.9309,-26.2,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,138.6408,6.7,5438.211,4.8,99.0226,37.9,北京市
201603,317.8171,2.4,5956.5991,6.9,205.0251,-8.7,北京市
201604,434.9031,-5.5,6183.8054,6.3,262.8478,3.4,北京市
201605,551.5067,-13.9,6363.7373,2.5,319.8369,-11.7,北京市
201606,770.8164,-12.5,6425.5672,-1.0,475.9552,17.4,北京市
201607,955.2483,-12.4,6311.674,-6.0,517.104,21.9,北京市
201608,1167.6588,-3.6,6627.4094,-1.8,533.5668,10.2,北京市
201609,1418.9537,0.6,6781.798,-1.9,622.5306,3.6,北京市
201610,1655.8749,0.5,6992.1915,-1.5,733.6576,-7.8,北京市
201611,1843.9306,3.3,7073.2681,-1.3,815.4382,-18.2,北京市
201612,2073.2437,2.2,7165.4226,-2.6,1324.5784,-16.3,北京市
201701,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201702,150.921,8.9,5247.4312,-3.5,65.3325,-34.0,北京市
201703,319.4947,0.5,5568.8228,-6.5,96.3409,-53.0,北京市
201704,431.1869,-0.9,5669.4827,-8.3,140.3622,-46.6,北京市
201705,589.0366,6.8,5708.1931,-10.3,182.633,-42.9,北京市
201706,757.9457,-1.7,5935.8304,-7.6,226.3607,-52.4,北京市
201707,910.1218,-4.7,5985.8926,-5.2,254.3559,-50.8,北京市
201708,1097.6098,-6.0,6047.9554,-8.7,274.0148,-48.6,北京市
201709,1272.3773,-10.3,6071.7562,-10.5,294.8425,-52.6,北京市
201710,1399.2898,-15.5,6196.4027,-11.4,335.6938,-54.2,北京市
201711,1533.1019,-16.9,6532.0681,-7.7,382.3691,-53.1,北京市
201712,1764.1426,-14.9,6715.5822,-6.3,721.543,-45.5,北京市
201801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201802,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201803,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201804,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201805,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201806,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201807,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201808,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201809,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201810,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201811,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201812,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200802,25.4711,37.4,1362.34,20.5,30.39,18.3,天津市
200803,58.1487,38.3,1758.8924,4.8,100.0944,1.5,天津市
200804,91.3336,35.4,2057.9106,5.7,151.1714,-7.2,天津市
200805,127.179,33.0,2364.5279,12.5,202.7201,6.2,天津市
200806,193.0468,32.8,2636.806,16.7,321.7676,-11.4,天津市
200807,227.2253,33.3,2718.4382,15.5,344.59,-19.6,天津市
200808,264.8161,34.9,2865.1282,20.7,369.6792,-16.4,天津市
200809,303.1478,34.3,2981.6566,18.4,448.5597,-11.5,天津市
200810,339.4997,34.8,3101.6011,4.3,498.7923,-6.6,天津市
200811,386.3168,31.0,3181.4748,2.8,635.1389,-4.3,天津市
200812,475.5605,36.6,4504.27,19.0,1505.8427,6.1,天津市
200901,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200902,27.38,7.5,1377.84,1.1,36.69,20.7,天津市
200903,82.2579,41.5,1850.8007,5.2,108.9724,8.9,天津市
200904,112.9369,23.7,2154.253,4.7,147.9792,-2.1,天津市
200905,151.8182,19.4,2448.1693,3.5,203.9348,0.6,天津市
200906,221.7893,14.9,2649.4516,0.5,357.2176,11.0,天津市
200907,255.5267,12.5,2798.6669,3.0,361.0832,4.8,天津市
200908,296.1542,11.8,2983.1759,4.1,374.9285,1.4,天津市
200909,364.6723,20.3,3233.8413,8.5,486.2945,8.4,天津市
200910,402.4494,18.5,3330.3377,7.4,565.2943,13.3,天津市
200911,442.3245,14.5,3375.9737,6.1,675.0062,6.3,天津市
200912,540.8599,13.7,4805.3745,6.7,1732.3075,12.0,天津市
201001,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201002,33.3014,21.6,3112.2273,14.7,37.0089,0.9,天津市
201003,71.2486,-13.4,3245.7641,75.4,107.655,-1.2,天津市
201004,101.5026,-10.1,3321.2381,54.2,128.6638,-13.1,天津市
201005,146.2464,-3.7,3354.7095,37.0,180.3046,-11.6,天津市
201006,237.5003,7.1,3499.1793,32.1,330.191,-7.6,天津市
201007,292.0552,14.3,3765.4632,34.5,345.9696,-4.2,天津市
201008,356.4381,20.4,3934.298,31.9,346.7196,-7.5,天津市
201009,419.8815,15.1,4039.7137,24.9,452.9222,-6.9,天津市
201010,455.4569,13.2,3960.5072,18.9,477.3479,-15.6,天津市
201011,513.7561,16.1,4122.5065,22.1,587.1256,-13.0,天津市
201012,650.1929,19.9,5517.2957,14.6,1700.5096,-2.1,天津市
201101,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201102,37.3184,7.5,3715.709,17.0,33.0306,-7.1,天津市
201103,109.3152,46.4,4328.4626,30.5,122.0002,14.9,天津市
201104,204.5853,92.6,4720.9192,38.5,185.5652,45.2,天津市
201105,271.7607,77.8,5201.5691,50.9,213.6504,13.3,天津市
201106,416.5108,62.9,5449.0937,50.2,389.1044,12.5,天津市
201107,504.2263,61.8,5770.1122,48.9,425.0396,17.0,天津市
201108,577.7525,55.2,5670.5985,41.1,453.8043,24.7,天津市
201109,665.8074,52.0,5791.3521,40.3,603.8636,25.6,天津市
201110,723.9393,52.3,6253.5021,53.5,694.7326,36.1,天津市
201111,806.923,51.1,6410.927,51.5,825.3535,32.6,天津市
201112,885.7451,32.2,7607.8903,35.6,1986.3542,13.5,天津市
201201,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201202,61.7424,65.4,5301.6903,42.7,41.4447,25.5,天津市
201203,174.876,60.0,4800.9331,10.9,158.6057,30.0,天津市
201204,290.2266,41.9,5075.7173,7.5,224.1717,20.8,天津市
201205,415.7559,53.0,5441.3981,4.6,246.3225,15.3,天津市
201206,587.661,41.1,5887.1051,8.0,403.6921,3.7,天津市
201207,657.8404,30.5,6281.2685,8.9,452.1871,6.4,天津市
201208,738.6141,27.8,6317.578,11.4,451.3702,-0.5,天津市
201209,845.1815,26.9,6547.4607,13.1,559.5339,-7.3,天津市
201210,895.1455,23.6,6622.7964,5.9,651.4155,-6.2,天津市
201211,983.2181,21.8,6866.0874,7.1,898.5319,8.9,天津市
201212,1071.8765,19.6,8121.738,5.9,2378.5445,28.5,天津市
201301,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201302,71.842,16.4,5296.4395,-0.1,80.8604,95.1,天津市
201303,214.805,22.8,6661.8245,38.8,134.0958,-15.5,天津市
201304,342.7861,18.1,7145.2925,40.8,210.4227,-6.1,天津市
201305,480.1223,15.5,7273.2045,33.7,237.7666,-3.5,天津市
201306,688.2158,17.1,7650.5982,30.0,361.4416,-10.5,天津市
201307,771.4475,17.3,7746.6058,23.3,399.7907,-11.6,天津市
201308,870.0366,17.8,7921.2567,25.4,432.0506,-4.3,天津市
201309,994.0597,17.6,8230.6748,25.7,515.1135,-7.9,天津市
201310,1050.699,17.4,8299.2983,25.3,550.2301,-15.5,天津市
201311,1139.2809,15.9,8558.0231,24.6,659.5679,-26.6,天津市
201312,1244.9581,16.1,8727.4527,7.4,2362.5956,-0.9,天津市
201401,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201402,82.7963,15.2,5709.6097,7.8,181.1348,0.0,天津市
201403,211.8841,-1.4,6054.9446,-9.1,264.0451,96.9,天津市
201404,372.6051,8.7,6474.6284,-9.4,325.8548,54.9,天津市
201405,525.9789,9.6,6687.4755,-8.1,420.7027,76.9,天津市
201406,716.1041,4.1,7168.9425,-6.3,507.3589,40.4,天津市
201407,807.043,4.6,7241.1153,-6.5,556.7431,39.3,天津市
201408,916.5678,5.3,7395.6298,-6.6,617.1749,42.8,天津市
201409,1047.1263,5.3,7526.6104,-8.6,656.5023,27.4,天津市
201410,1118.2101,6.4,7700.9188,-7.2,694.2403,26.2,天津市
201411,1209.0492,6.1,7927.0364,-7.4,1055.8873,60.1,天津市
201412,1284.5535,2.8,8088.5741,-7.3,2398.0881,1.5,天津市
201501,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201502,110.5431,33.5,5907.353,3.5,109.224,-39.7,天津市
201503,279.3383,31.8,6150.1903,1.6,161.4583,-38.9,天津市
201504,429.8862,15.4,6452.2859,-0.3,236.2653,-27.5,天津市
201505,614.2317,16.8,6493.444,-2.9,307.3169,-27.0,天津市
201506,836.8507,16.9,6678.3699,-6.8,433.68,-14.5,天津市
201507,971.3229,20.4,6792.5329,-6.2,495.1226,-11.1,天津市
201508,1089.0373,18.8,6994.8007,-5.4,553.2025,-10.4,天津市
201509,1230.5591,17.5,7170.6892,-4.7,609.3995,-7.2,天津市
201510,1324.5149,18.4,7405.2977,-3.8,693.2742,-0.1,天津市
201511,1404.134,16.1,7494.2575,-5.5,779.3873,-26.2,天津市
