月份,固定资产投资完成额_累计值,固定资产投资完成额_累计增长,建筑安装工程固定资产投资完成额_累计值,建筑安装工程固定资产投资完成额_累计增长,设备工器具购置固定资产投资完成额_累计值,设备工器具购置固定资产投资完成额_累计增长,其他费用固定资产投资完成额_累计值,其他费用固定资产投资完成额_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,293.2882,20.6,154.557,21.3,22.6358,-23.0,116.0954,34.4,北京市
200803,534.7199,23.8,265.0966,14.2,52.7732,27.5,216.8501,37.0,北京市
200804,830.3135,22.0,423.3936,12.4,86.1073,25.8,320.8126,36.3,北京市
200805,1126.8958,19.0,574.9383,7.6,133.3432,40.5,418.6143,31.6,北京市
200806,1474.9683,16.4,762.0665,12.9,187.6008,33.9,525.301,16.4,北京市
200807,1768.4435,10.1,896.0313,7.0,226.3895,18.2,646.0227,11.9,北京市
200808,1901.072,-0.6,956.2484,-4.2,247.396,10.7,697.4276,1.0,北京市
200809,2090.8172,-7.2,1027.7016,-13.0,272.0624,-5.0,791.0532,0.6,北京市
200810,2417.7413,-6.3,1143.9328,-14.5,335.9489,8.0,937.8596,0.9,北京市
200811,2784.3174,-5.2,1312.3133,-13.5,391.1199,6.8,1080.8842,2.6,北京市
200812,3520.947,-2.1,1571.0605,-15.1,540.731,29.0,1409.1555,6.1,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,232.89,-20.6,112.46,-27.2,16.51,-27.1,103.93,-10.5,北京市
200903,468.5576,-12.4,197.5345,-25.5,44.3517,-16.0,226.6714,4.5,北京市
200904,736.8997,-11.3,317.1248,-25.1,64.7162,-24.8,355.0587,10.7,北京市
200905,1153.3854,2.4,463.303,-19.4,96.9546,-27.3,593.1278,41.7,北京市
200906,1693.751,14.8,644.19,-15.5,148.1364,-21.0,901.4246,71.6,北京市
200907,2168.3089,22.6,803.0006,-10.4,189.9123,-16.1,1175.396,81.9,北京市
200908,2641.957,39.0,965.4633,1.0,217.2061,-12.2,1459.2876,109.2,北京市
200909,3120.4084,49.2,1137.4863,10.7,254.5796,-6.4,1728.3425,118.5,北京市
200910,3460.3247,43.1,1277.824,11.7,281.4046,-16.2,1901.0961,102.7,北京市
200911,3250.0232,16.7,1417.5279,8.0,302.3049,-22.7,1530.1904,41.6,北京市
200912,4149.6286,17.9,1647.7639,4.9,373.9624,-30.8,2127.9023,51.0,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,334.6725,43.7,153.0453,36.1,22.7701,37.9,158.8571,52.9,北京市
201003,663.9728,41.7,247.1182,25.1,71.9584,62.2,344.8962,52.2,北京市
201004,1018.0292,38.2,343.7715,8.4,104.8349,62.0,569.4228,60.4,北京市
201005,1470.1248,27.5,469.9981,1.4,128.9,32.9,871.2267,46.9,北京市
201006,1949.9491,15.1,631.7538,-1.9,172.6834,16.6,1145.5119,27.1,北京市
201007,2309.9948,6.5,780.1003,-2.9,215.2825,13.4,1314.612,11.8,北京市
201008,2812.5382,6.5,949.0324,-1.7,292.2652,34.6,1571.2406,7.7,北京市
201009,3320.4544,6.4,1122.1476,-1.3,334.8678,31.5,1863.439,7.8,北京市
201010,3717.961,7.4,1239.7869,-3.0,384.5847,36.7,2093.5894,10.1,北京市
201011,3875.3359,13.1,1404.3976,-0.9,343.9557,13.8,2126.9826,39.0,北京市
201012,4916.5257,14.3,1782.593,8.2,598.8284,60.1,2535.1043,19.1,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,379.8757,13.4,179.1588,14.8,56.9935,145.5,143.7234,-7.6,北京市
201103,762.2817,11.9,317.4212,17.1,109.7777,50.2,335.0828,-0.6,北京市
201104,1162.2985,9.6,496.7059,30.3,161.836,50.8,503.7566,-11.9,北京市
201105,1656.737,7.9,699.6627,31.5,203.7576,53.5,753.3167,-13.4,北京市
201106,2201.2019,7.3,935.5682,28.8,247.593,38.2,1018.0407,-11.2,北京市
201107,2703.4611,11.1,1152.8294,28.5,281.9837,26.5,1268.648,-3.4,北京市
201108,3253.0461,12.3,1401.0821,30.4,321.9634,17.8,1530.0006,-1.3,北京市
201109,3814.7666,8.1,1671.8854,27.2,390.922,13.6,1751.9592,-6.3,北京市
201110,4312.8098,7.0,1923.1963,28.8,439.1844,6.6,1950.4291,-8.2,北京市
201111,4938.0828,5.3,2232.6587,24.5,494.7176,1.8,2210.7065,-8.3,北京市
201112,5519.8625,5.7,2551.1622,23.2,596.5463,5.4,2372.154,-8.2,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,385.935,1.6,203.2521,13.4,48.727,-14.5,133.9559,-6.8,北京市
201203,800.8157,5.1,369.4901,16.4,97.7743,-10.9,333.5513,-0.5,北京市
201204,1213.8168,4.4,583.083,17.4,130.3311,-19.5,500.4027,-0.7,北京市
201205,1731.2611,4.5,875.98,25.2,162.3098,-20.3,692.9713,-8.0,北京市
201206,2335.8259,6.1,1111.7517,18.8,265.4802,7.2,958.594,-5.8,北京市
201207,2866.869,6.0,1347.1396,16.9,330.9235,17.4,1188.8059,-6.3,北京市
201208,3441.0485,5.8,1635.2832,16.7,400.273,24.3,1405.4923,-8.1,北京市
