月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
200801,0,0,0,0,北京市
200802,1639,-259,733,315,北京市
200803,2352,191,1022,376,北京市
200804,1061,-1927,163,-831,北京市
200805,1186,-2140,247,-931,北京市
200806,1346,-2232,346,-892,北京市
200807,1440,-2696,402,-1089,北京市
200808,1489,-3170,431,-1396,北京市
200809,1564,-3912,477,-1895,北京市
200810,1805,-4069,676,-1939,北京市
200811,2048,-4320,866,-2059,北京市
200812,2930,-4737,1447,-2203,北京市
200901,0,0,0,0,北京市
200902,818,-821,33,-700,北京市
200903,1127,-1225,113,-909,北京市
200904,1340,279,208,45,北京市
200905,1557,371,336,89,北京市
200906,1794,448,478,132,北京市
200907,1933,493,578,176,北京市
200908,2071,582,698,267,北京市
200909,2338,774,956,479,北京市
200910,2375,570,967,291,北京市
200911,2480,432,1061,195,北京市
200912,2893,-37,1371,-76,北京市
201001,0,0,0,0,北京市
201002,863,45,27,-6,北京市
201003,1128,1,84,-29,北京市
201004,1312,-28,134,-74,北京市
201005,1451,-106,184,-152,北京市
201006,1590,-204,256,-222,北京市
201007,1732,-201,358,-220,北京市
201008,1848,-223,449,-249,北京市
201009,1974,-364,543,-413,北京市
201010,2133,-242,671,-296,北京市
201011,2344,-136,852,-209,北京市
201012,2724,-169,1125,-246,北京市
201101,0,0,0,0,北京市
201102,981,-20,20,-12,北京市
201103,1454,-118,152,-61,北京市
201104,1756,-234,275,-136,北京市
201105,2003,-296,409,-153,北京市
201106,2313,-249,639,-93,北京市
201107,2480,-281,752,-125,北京市
201108,2695,-280,899,-157,北京市
201109,2896,-289,1045,-167,北京市
201110,3057,-341,1175,-208,北京市
201111,3317,-323,1358,-226,北京市
201112,3521,-490,1508,-323,北京市
201201,0,0,0,0,北京市
201202,969,-12,31,11,北京市
201203,1433,-21,132,-20,北京市
201204,1758,2,272,-3,北京市
201205,2110,107,474,65,北京市
201206,2499,186,747,108,北京市
201207,2682,202,867,115,北京市
201208,2845,150,994,95,北京市
201209,3121,225,1216,171,北京市
201210,3398,341,1442,267,北京市
201211,3608,291,1607,249,北京市
201212,3859,338,1775,267,北京市
201301,0,0,0,0,北京市
201302,1118,149,32,1,北京市
201303,1820,387,190,58,北京市
201304,2202,444,343,71,北京市
201305,2467,357,496,22,北京市
201306,2800,301,720,-27,北京市
201307,2941,259,822,-45,北京市
201308,3078,233,913,-81,北京市
201309,3322,201,1110,-106,北京市
201310,3502,104,1262,-180,北京市
201311,3758,150,1470,-137,北京市
201312,3981,1713,1604,836,北京市
201401,0,0,0,0,北京市
201402,1326,208,39,7,北京市
201403,1806,-14,150,-40,北京市
201404,2089,-113,265,-78,北京市
201405,2271,-196,371,-125,北京市
201406,2529,-271,527,-193,北京市
201407,2688,-253,637,-185,北京市
201408,2846,-232,737,-176,北京市
201409,3030,-292,881,-229,北京市
201410,3199,-303,1009,-253,北京市
201411,3319,-439,1095,-375,北京市
201412,0,0,0,0,北京市
201501,0,0,0,0,北京市
201502,1096,-230,13,-26,北京市
201503,1461,-345,87,-63,北京市
201504,1752,-337,160,-105,北京市
201505,2003,-268,294,-77,北京市
201506,2400,-129,537,10,北京市
201507,2529,-159,625,-12,北京市
201508,2682,-164,738,1,北京市
201509,2994,-36,991,110,北京市
201510,3250,51,1190,181,北京市
201511,3497,178,1383,288,北京市
201512,3704,106,1527,266,北京市
201601,0,0,0,0,北京市
201602,990,-106,20,7,北京市
201603,1550,89,137,50,北京市
201604,1822,70,247,87,北京市
201605,2080,77,377,83,北京市
201606,2333,-67,549,12,北京市
201607,2498,-31,656,31,北京市
201608,2676,-6,782,44,北京市
201609,2876,-118,938,-53,北京市
201610,3131,-119,1159,-31,北京市
201611,3344,-153,1327,-56,北京市
201612,3534,-170,1464,-63,北京市
201701,0,0,0,0,北京市
201702,1042,52,35,15,北京市
201703,1641,91,197,60,北京市
201704,1954,132,335,88,北京市
201705,2147,67,425,48,北京市
201706,2397,64,584,35,北京市
201707,2587,89,701,45,北京市
201708,2669,-7,754,-28,北京市
