月份,房地产投资_累计值,房地产投资_累计增长,房地产住宅投资_累计值,房地产住宅投资_累计增长,地区
200801,0.0,0.0,0.0,0.0,北京市
200802,179.9859,23.4,84.604,-1.4,北京市
200803,315.2708,22.5,142.4253,5.4,北京市
200804,460.2185,16.6,215.7245,4.3,北京市
200805,615.8834,15.6,296.9554,5.9,北京市
200806,794.4341,11.9,391.853,7.3,北京市
200807,956.6034,6.0,461.9496,-0.5,北京市
200808,1025.2581,-3.4,485.9697,-10.8,北京市
200809,1136.9312,-8.1,531.7913,-15.7,北京市
200810,1315.2932,-7.3,682.0205,-4.5,北京市
200811,1510.82,-7.1,781.62,-2.1,北京市
200812,1908.7387,-4.4,940.5586,-5.2,北京市
200901,0.0,0.0,0.0,0.0,北京市
200902,119.8,-33.4,61.33,-27.5,北京市
200903,220.1232,-30.2,105.9759,-25.6,北京市
200904,338.25,-26.5,163.29,-24.3,北京市
200905,579.755,-5.9,225.7069,-24.0,北京市
200906,901.83,13.5,331.46,-15.4,北京市
200907,1205.0572,26.0,413.6224,-10.5,北京市
200908,1478.42,44.2,497.95,2.5,北京市
200909,1774.0803,56.0,587.6096,10.5,北京市
200910,1983.0226,50.8,657.7278,-3.6,北京市
200911,1612.53,6.7,724.78,-7.3,北京市
200912,2337.7124,22.5,906.6168,-3.6,北京市
201001,0.0,0.0,0.0,0.0,北京市
201002,204.8625,71.0,116.7817,90.4,北京市
201003,384.1617,74.5,213.6702,101.6,北京市
201004,555.9314,64.4,259.3269,58.8,北京市
201005,915.94,58.0,435.96,93.2,北京市
201006,1251.56,38.8,558.34,68.5,北京市
201007,1452.449,20.5,734.971,77.7,北京市
201008,1726.48,16.8,849.69,70.6,北京市
201009,2065.2239,16.4,1049.6804,78.6,北京市
201010,2300.5521,16.0,1131.167,72.0,北京市
201011,2645.6499,18.6,1347.0468,84.4,北京市
201012,2901.0686,24.1,1508.9501,66.4,北京市
201101,0.0,0.0,0.0,0.0,北京市
201102,196.5596,2.2,103.1681,-11.7,北京市
201103,415.7454,14.0,252.5409,24.1,北京市
201104,628.1029,19.3,416.8756,60.8,北京市
201105,915.63,4.1,541.9075,23.8,北京市
201106,1239.4609,3.7,686.8486,23.0,北京市
201107,1563.7977,13.2,917.6212,24.9,北京市
201108,1881.7106,14.5,1151.3015,35.5,北京市
201109,2196.1603,11.7,1350.4726,31.2,北京市
201110,2484.6818,12.8,1455.6576,28.7,北京市
201111,2790.0963,5.5,1636.2123,21.5,北京市
201112,3036.334,4.7,1778.307,17.9,北京市
201201,0.0,0.0,0.0,0.0,北京市
201202,187.5599,-4.6,83.7868,-18.8,北京市
201203,419.9212,1.0,208.6561,-17.4,北京市
201204,633.9305,0.9,305.7722,-26.7,北京市
201205,927.9479,1.3,463.1046,-14.5,北京市
201206,1283.1772,3.5,655.6042,-4.5,北京市
201207,1624.3865,3.9,811.7238,-11.5,北京市
201208,1876.2059,-0.3,978.1295,-15.0,北京市
201209,2203.719,0.3,1117.3875,-17.3,北京市
201210,2518.6094,1.4,1287.9334,-11.5,北京市
201211,2810.5433,0.7,1451.264,-11.3,北京市
201212,3153.4419,3.9,1627.9851,-8.5,北京市
201301,0.0,0.0,0.0,0.0,北京市
201302,227.0445,21.1,102.827,22.7,北京市
201303,451.9655,7.6,191.4162,-8.3,北京市
201304,647.8836,2.2,269.4121,-11.9,北京市
201305,932.5097,0.5,405.4972,-12.4,北京市
201306,1315.2826,2.5,612.4813,-6.6,北京市
201307,1609.0205,-0.9,740.5111,-8.8,北京市
201308,1929.3616,2.8,890.3966,-9.0,北京市
201309,2234.6014,1.4,1110.4886,-0.6,北京市
201310,2475.7625,-1.7,1222.1524,-5.1,北京市
201311,2864.1043,1.9,1400.5945,-3.5,北京市
201312,3483.4045,10.5,1724.561,5.9,北京市
201401,0.0,0.0,0.0,0.0,北京市
201402,243.6436,7.3,113.3812,10.3,北京市
201403,539.3599,19.3,276.6956,44.6,北京市
201404,785.8358,21.3,377.9964,40.3,北京市
201405,1029.6428,10.4,505.7573,24.7,北京市
201406,1434.8843,9.1,722.7168,18.0,北京市
201407,1791.3431,11.3,920.3352,24.3,北京市
201408,2179.9228,13.0,1115.2852,25.3,北京市
201409,2552.8242,14.2,1264.5148,13.9,北京市
201410,2837.1987,14.6,1419.4671,16.1,北京市
201411,3251.0212,13.5,1630.5331,16.4,北京市
201412,3715.3341,6.7,1846.0805,7.0,北京市
201501,0.0,0.0,0.0,0.0,北京市
201502,264.3045,8.5,124.3019,9.6,北京市
201503,667.7324,23.8,303.0716,9.5,北京市
201504,949.5753,20.8,437.0736,15.6,北京市
201505,1223.4938,18.8,603.6732,19.4,北京市
201506,1688.0704,17.6,832.9169,15.2,北京市
201507,2093.0282,16.8,1033.5886,12.3,北京市
201508,2449.3065,12.4,1143.2036,2.5,北京市
201509,2847.0079,11.5,1311.4697,3.7,北京市
201510,3265.8056,15.1,1529.9048,7.8,北京市
201511,3681.2709,13.2,1661.9669,1.9,北京市
201512,4177.0481,12.4,1889.5385,2.4,北京市
201601,0.0,0.0,0.0,0.0,北京市
201602,302.7881,14.6,127.4702,2.5,北京市
201603,662.7104,-0.8,295.6741,-2.4,北京市
201604,933.997,-1.6,405.4325,-7.2,北京市
201605,1175.0677,-4.0,516.1373,-14.5,北京市
201606,1607.5884,-4.8,729.1324,-12.5,北京市
201607,1953.7312,-6.7,907.5091,-12.2,北京市
201608,2256.7052,-7.9,1087.9043,-4.8,北京市
201609,2695.40869999999,-5.3,1310.2458,-0.1,北京市
201610,3168.7065,-3.0,1537.3909,0.5,北京市
201611,3551.4473,-3.5,1712.1002,3.0,北京市
201612,4000.5729,-4.2,1925.8648,1.9,北京市
201701,0.0,0.0,0.0,0.0,北京市
201702,288.7806,-4.6,144.1423,13.1,北京市
201703,607.1433,-8.4,309.2576,4.6,北京市
201704,857.8695,-8.2,411.5396,1.5,北京市
201705,1169.5897,-0.5,562.469,9.0,北京市
201706,1528.8967,-4.9,722.9474,-0.8,北京市
201707,1855.3947,-5.0,866.6679,-4.5,北京市
201708,2201.7846,-2.4,1048.8781,-3.6,北京市
201709,2600.7084,-3.5,1221.8356,-6.7,北京市
201710,2920.0698,-7.8,1342.3088,-12.7,北京市
201711,3218.5007,-9.4,1470.8875,-14.1,北京市
201712,3692.5416,-7.7,1694.6697,-12.0,北京市
201801,0.0,0.0,0.0,0.0,北京市
201802,281.4554,-2.5,126.248,-12.4,北京市
201803,531.3999,-12.5,234.5379,-24.2,北京市
201804,708.942,-17.4,311.4734,-24.3,北京市
201805,1052.1258,-10.0,479.6939,-14.7,北京市
201806,1429.8792,-6.5,683.7946,-5.4,北京市
201807,1766.6439,-4.8,832.513,-3.9,北京市
201808,2114.9898,-3.9,1011.3686,-3.6,北京市
201809,2565.4758,-1.4,1251.4428,2.4,北京市
201810,3002.9351,2.8,1515.2641,12.9,北京市
201811,3409.4668,5.9,1758.4508,19.6,北京市
201812,3873.3513,4.9,2026.0619,19.6,北京市
200801,0.0,0.0,0.0,0.0,天津市
200802,34.4377,25.5,24.2841,31.2,天津市
200803,95.651,27.3,56.3263,34.1,天津市
200804,152.3748,28.2,88.2548,31.4,天津市
200805,208.523,28.9,123.6836,29.8,天津市
200806,300.2656,29.3,189.2875,31.7,天津市
