月份,房地产施工面积_累计值,房地产施工面积_累计增长,房地产新开工施工面积_累计值,房地产新开工施工面积_累计增长,房地产竣工面积_累计值,房地产竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,5869.08,9.0,349.12,49.7,171.62,-18.5,北京市
200803,6847.13,2.8,583.16,53.3,265.99,-26.3,北京市
200804,7566.8,2.4,790.48,36.8,409.97,-20.2,北京市
200805,7969.47,-0.1,1058.39,47.3,553.46,-11.9,北京市
200806,8272.12,-1.4,1212.9,24.9,817.56,-14.7,北京市
200807,8452.64,-2.8,1332.41,14.5,1048.6,-3.1,北京市
200808,8659.7,-2.3,1440.87,12.2,1158.43,-1.7,北京市
200809,8807.17,-3.9,1507.18,-1.4,1252.81,-7.4,北京市
200810,9015.86,-5.7,1708.74,-8.0,1423.65,-8.3,北京市
200811,9432.38,-4.8,2053.49,-4.0,1572.8,-13.6,北京市
200812,10014.32,-4.1,2337.22,-8.6,2557.99,-11.5,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,5978.57,1.9,210.77,-39.6,200.28,16.7,北京市
200903,6898.37,0.7,311.88,-46.5,285.6,7.4,北京市
200904,7405.16,-2.1,463.95,-41.3,396.27,-3.3,北京市
200905,7630.49,-4.3,549.62,-48.1,514.42,-7.1,北京市
200906,8130.43,-1.7,830.98,-31.5,789.5,-3.4,北京市
200907,8337.79,-1.4,943.04,-29.2,923.59,-11.9,北京市
200908,8518.15,-1.6,1034.93,-28.2,1053.44,-9.1,北京市
200909,8751.96,-0.6,1169.1,-22.4,1178.05,-6.0,北京市
200910,8944.36,-0.8,1358.37,-20.5,1390.05,-2.4,北京市
200911,9081.37,-3.7,1678.46,-18.3,1630.09,3.6,北京市
200912,9719.08,-2.9,2246.6,-3.9,2678.55,4.7,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,6082.48,1.7,220.03,4.4,196.83,-1.7,北京市
201003,6858.67,-0.6,477.2,53.0,281.18,-1.5,北京市
201004,7224.75,-2.4,654.65,41.1,420.61,6.1,北京市
201005,7531.81,-1.3,876.19,59.4,558.14,8.5,北京市
201006,7807.33,-3.2,1112.64,33.9,782.38,2.2,北京市
201007,8048.89,-2.7,1314.76,39.4,868.63,-3.5,北京市
201008,8313.65,-1.7,1461.55,41.2,1000.12,-2.9,北京市
201009,8727.37,0.4,1760.79,50.6,1103.47,-4.4,北京市
201010,9185.0439,3.4,2049.4289,50.9,1465.6382,7.3,北京市
201011,9628.5089,6.0,2427.8116,44.6,1692.7123,3.8,北京市
201012,10300.8582,6.0,2974.2441,32.4,2386.7096,-10.9,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,6426.6725,5.7,273.4852,24.3,200.7529,2.0,北京市
201103,7608.2937,10.9,577.235,21.0,236.729,-15.8,北京市
201104,8297.6761,14.9,911.6948,39.3,297.4972,-29.3,北京市
201105,8926.1679,18.5,1309.9617,49.5,401.9825,-28.0,北京市
201106,9517.3676,21.9,1827.8158,64.3,543.665,-30.5,北京市
201107,9839.0577,22.2,2129.0946,61.9,630.1316,-27.5,北京市
201108,10499.4528,26.3,2788.6891,90.8,831.087,-16.9,北京市
201109,10906.4878,25.0,3145.0297,78.6,901.7314,-18.3,北京市
201110,11204.5394,22.0,3467.5935,69.2,1095.9422,-25.2,北京市
201111,11682.8492,21.3,3917.7065,61.4,1367.6067,-19.2,北京市
201112,12065.3755,17.1,4246.0522,42.8,2245.2369,-5.9,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,8174.6941,27.2,154.088,-43.7,90.3501,-55.0,北京市
201203,9247.1165,21.5,491.2149,-14.9,176.6662,-25.4,北京市
201204,9935.8421,19.7,699.3845,-23.3,280.2151,-5.8,北京市
201205,10485.4134,17.5,1048.3152,-20.0,437.8954,8.9,北京市
201206,11020.6693,15.8,1460.9968,-20.1,568.75,4.6,北京市
201207,11390.6698,15.8,1724.3806,-19.0,690.0845,9.5,北京市
201208,11742.6255,11.8,1963.9849,-29.6,797.5131,-4.0,北京市
201209,12044.1302,10.4,2210.1648,-29.7,971.617,7.8,北京市
201210,12364.7835,10.4,2516.4961,-27.4,1255.8736,14.6,北京市
201211,12786.0741,9.4,2897.2788,-26.0,1518.7544,11.1,北京市
